Rooms,Propertycount,Price,Method_PI,Method_S,Method_SA,Method_SP,Method_VB,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea_Banyule,CouncilArea_Bayside,CouncilArea_Boroondara,CouncilArea_Brimbank,CouncilArea_Cardinia,CouncilArea_Casey,CouncilArea_Darebin,CouncilArea_Frankston,CouncilArea_Glen Eira,CouncilArea_Greater Dandenong,CouncilArea_Hobsons Bay,CouncilArea_Hume,CouncilArea_Kingston,CouncilArea_Knox,CouncilArea_Macedon Ranges,CouncilArea_Manningham,CouncilArea_Maribyrnong,CouncilArea_Maroondah,CouncilArea_Melbourne,CouncilArea_Melton,CouncilArea_Monash,CouncilArea_Moonee Valley,CouncilArea_Moorabool,CouncilArea_Moreland,CouncilArea_Nillumbik,CouncilArea_Port Phillip,CouncilArea_Stonnington,CouncilArea_Unavailable,CouncilArea_Whitehorse,CouncilArea_Whittlesea,CouncilArea_Wyndham,CouncilArea_Yarra,CouncilArea_Yarra Ranges,CouncilArea_nan,Lattitude,Longtitude,Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria,Type
2,4019.0,1172500.0,0,1,0,0,0,736189,2.5,3067,2.0,1.0,1.0,195.0,95.0,1969.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8084,144.9973,0,0,1,0,0,0,0,0,0
2,4019.0,1310000.0,0,1,0,0,0,736252,2.5,3067,2.0,1.0,2.0,238.0,97.0,1890.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.809,144.9976,0,0,1,0,0,0,0,0,0
3,4019.0,1200000.0,0,1,0,0,0,736161,2.5,3067,3.0,2.0,1.0,113.0,110.0,1880.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8056,144.993,0,0,1,0,0,0,0,0,0
3,4019.0,1176500.0,0,1,0,0,0,736161,2.5,3067,2.0,1.0,1.0,138.0,105.0,1890.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8021,144.9965,0,0,1,0,0,0,0,0,0
3,4019.0,955000.0,0,1,0,0,0,736224,2.5,3067,3.0,1.0,0.0,183.0,89.0,1937.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8022,144.9975,0,0,1,0,0,0,0,0,0
2,4019.0,890000.0,0,1,0,0,0,736224,2.5,3067,2.0,1.0,1.0,150.0,73.0,1985.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8011,145.0004,0,0,1,0,0,0,0,0,0
4,4019.0,1330000.0,1,0,0,0,0,736406,2.5,3067,4.0,2.0,2.0,780.0,135.0,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8073,144.9952,0,0,1,0,0,0,0,0,0
3,4019.0,900000.0,0,1,0,0,0,736406,2.5,3067,3.0,2.0,2.0,0.0,81.0,2010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8093,144.9959,0,0,1,0,0,0,0,0,1
2,4019.0,1100000.0,1,0,0,0,0,736133,2.5,3067,2.0,2.0,1.0,124.0,135.0,2013.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8079,144.9977,0,0,1,0,0,0,0,0,0
2,4019.0,1315000.0,0,1,0,0,0,736287,2.5,3067,2.0,1.0,0.0,147.0,85.0,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.808,144.994,0,0,1,0,0,0,0,0,0
3,4019.0,1447500.0,1,0,0,0,0,736198,2.5,3067,3.0,3.0,1.0,166.0,174.0,2012.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8017,145.0001,0,0,1,0,0,0,0,0,0
2,4019.0,1135000.0,0,1,0,0,0,736198,2.5,3067,2.0,2.0,2.0,98.0,128.0,1920.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8005,144.9952,0,0,1,0,0,0,0,0,0
4,4019.0,1542000.0,0,1,0,0,0,736231,2.5,3067,4.0,3.0,1.0,0.0,73.0,1930.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.7994,144.9965,0,0,1,0,0,0,0,0,0
3,4019.0,1290000.0,0,1,0,0,0,736385,2.5,3067,3.0,2.0,2.0,147.0,18.0,1940.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.805,144.9943,0,0,1,0,0,0,0,0,0
3,4019.0,1290000.0,0,1,0,0,0,736385,2.5,3067,3.0,1.0,1.0,168.0,124.0,1950.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8007,144.9958,0,0,1,0,0,0,0,0,0
2,4019.0,1180000.0,0,1,0,0,0,736295,2.5,3067,2.0,1.0,0.0,162.0,91.0,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8016,144.9956,0,0,1,0,0,0,0,0,0
3,4019.0,1195000.0,0,0,0,1,0,736295,2.5,3067,3.0,2.0,1.0,120.0,128.0,1998.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8022,144.9954,0,0,1,0,0,0,0,0,0
2,4019.0,1012500.0,0,1,0,0,0,736112,2.5,3067,2.0,1.0,0.0,182.0,82.0,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8021,144.9976,0,0,1,0,0,0,0,0,0
2,4019.0,1030000.0,0,1,0,0,0,736175,2.5,3067,2.0,1.0,1.0,172.0,81.0,1930.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8086,144.9946,0,0,1,0,0,0,0,0,0
3,3464.0,840000.0,1,0,0,0,0,736210,13.5,3042,3.0,2.0,1.0,303.0,225.0,2016.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.718,144.878,0,0,0,0,0,0,1,0,1
3,3464.0,730000.0,0,0,0,0,1,736301,13.5,3042,3.0,2.0,1.0,0.0,145.0,1965.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7203,144.8755,0,0,0,0,0,0,1,0,0
3,3464.0,770000.0,0,0,0,1,0,736392,13.5,3042,3.0,2.0,1.0,0.0,145.0,1965.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7203,144.8755,0,0,0,0,0,0,1,0,0
2,3464.0,603000.0,0,1,0,0,0,736392,13.5,3042,2.0,1.0,1.0,272.0,84.0,1950.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7294,144.888,0,0,0,0,0,0,1,0,0
3,3464.0,700000.0,0,1,0,0,0,736392,13.5,3042,3.0,2.0,2.0,239.0,134.0,2009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7218,144.8837,0,0,0,0,0,0,1,0,1
3,3464.0,600000.0,0,1,0,0,0,736392,13.5,3042,2.0,1.0,1.0,290.0,116.0,1980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7273,144.8744,0,0,0,0,0,0,1,0,0
3,3464.0,720000.0,0,1,0,0,0,736182,13.5,3042,2.0,1.0,1.0,620.0,106.5,2000.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7173,144.8872,0,0,0,0,0,0,1,0,0
4,3464.0,785000.0,0,1,0,0,0,736182,13.5,3042,3.0,1.0,2.0,597.0,127.0,1990.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7259,144.8792,0,0,0,0,0,0,1,0,0
6,3464.0,725000.0,0,0,0,1,0,736091,13.5,3042,6.0,3.0,2.0,976.0,186.0,1980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7239,144.8735,0,0,0,0,0,0,1,0,0
2,3464.0,450000.0,0,1,0,0,0,736091,13.5,3042,2.0,1.0,1.0,110.0,90.0,2015.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7216,144.871,0,0,0,0,0,0,1,0,1
3,3464.0,895000.0,1,0,0,0,0,736217,13.5,3042,3.0,1.0,6.0,1063.0,133.0,1975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7249,144.8728,0,0,0,0,0,0,1,0,0
3,3464.0,805000.0,0,1,0,0,0,736308,13.5,3042,3.0,1.0,1.0,0.0,105.0,1950.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7217,144.8783,0,0,0,0,0,0,1,0,0
5,3464.0,755000.0,1,0,0,0,0,736098,13.5,3042,3.0,2.0,2.0,596.0,132.0,2003.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7248,144.8699,0,0,0,0,0,0,1,0,0
3,3464.0,700000.0,1,0,0,0,0,736252,13.5,3042,3.0,2.0,2.0,165.0,133.0,2009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.727,144.887,0,0,0,0,0,0,1,0,1
3,3464.0,830000.0,0,1,0,0,0,736070,13.5,3042,3.0,1.0,2.0,971.0,113.0,1960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7186,144.876,0,0,0,0,0,0,1,0,0
3,3464.0,670000.0,0,0,0,1,0,736161,13.5,3042,3.0,2.0,2.0,657.0,104.33333333333333,1989.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7269,144.8742,0,0,0,0,0,0,1,0,0
2,3464.0,675000.0,0,1,0,0,0,736161,13.5,3042,2.0,1.0,1.0,612.0,100.0,1975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7187,144.8765,0,0,0,0,0,0,1,0,0
3,3464.0,1042000.0,0,1,0,0,0,736161,13.5,3042,3.0,2.0,5.0,612.0,174.0,1950.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7173,144.8796,0,0,0,0,0,0,1,0,0
3,3464.0,910000.0,0,1,0,0,0,736224,13.5,3042,3.0,1.0,1.0,775.0,241.5,1965.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7231,144.8835,0,0,0,0,0,0,1,0,0
4,3464.0,773000.0,0,1,0,0,0,736224,13.5,3042,5.0,3.0,4.0,531.0,309.0,1980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7263,144.8679,0,0,0,0,0,0,1,0,0
3,3464.0,810000.0,1,0,0,0,0,736406,13.5,3042,3.0,3.0,2.0,555.0,192.0,1980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7285,144.8694,0,0,0,0,0,0,1,0,0
3,3464.0,715000.0,0,1,0,0,0,736406,13.5,3042,3.0,2.0,2.0,422.0,126.0,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7164,144.8792,0,0,0,0,0,0,1,0,0
3,3464.0,790000.0,0,1,0,0,0,736406,13.5,3042,3.0,1.0,3.0,614.0,113.5,2002.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7194,144.8827,0,0,0,0,0,0,1,0,0
3,3464.0,540000.0,0,0,0,1,0,736133,13.5,3042,2.0,2.0,1.0,161.0,101.0,2010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7231,144.8802,0,0,0,0,0,0,1,0,1
3,3464.0,825000.0,0,0,0,1,0,736287,13.5,3042,3.0,2.0,1.0,293.0,102.0,1960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.72,144.8776,0,0,0,0,0,0,1,0,1
3,3464.0,685000.0,0,1,0,0,0,736106,13.5,3042,3.0,1.0,1.0,579.0,113.0,1975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7226,144.8733,0,0,0,0,0,0,1,0,0
3,3464.0,805000.0,0,1,0,0,0,736198,13.5,3042,3.0,1.0,1.0,623.0,94.5,1975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7184,144.882,0,0,0,0,0,0,1,0,0
3,3464.0,612000.0,0,1,0,0,0,736198,13.5,3042,3.0,2.0,1.0,212.0,87.66666666666667,1975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7181,144.8824,0,0,0,0,0,0,1,0,0
3,3464.0,662000.0,0,1,0,0,0,736077,13.5,3042,3.0,1.0,2.0,612.0,99.33333333333333,1975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7169,144.8815,0,0,0,0,0,0,1,0,0
4,3464.0,978000.0,0,1,0,0,0,736231,13.5,3042,4.0,3.0,2.0,532.0,111.0,1975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7263,144.869,0,0,0,0,0,0,1,0,0
3,3464.0,720000.0,1,0,0,0,0,736385,13.5,3042,3.0,1.0,1.0,585.0,122.66666666666666,1975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.72,144.878,0,0,0,0,0,0,1,0,0
4,3464.0,765000.0,0,1,0,0,0,736295,13.5,3042,4.0,1.0,2.0,509.0,134.33333333333331,1975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7261,144.8785,0,0,0,0,0,0,1,0,0
4,3464.0,900000.0,0,1,0,0,0,736295,13.5,3042,4.0,2.0,3.0,628.0,146.0,1975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-37.7256,144.8739,0,0,0,0,0,0,1,0,0
2,3280.0,1275000.0,0,1,0,0,0,736210,3.3,3206,2.0,1.0,0.0,120.0,82.0,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8459,144.9555,0,0,0,0,0,1,0,0,0
2,3280.0,1455000.0,0,1,0,0,0,736210,3.3,3206,2.0,1.0,0.0,159.0,140.0,1895.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.845,144.9538,0,0,0,0,0,1,0,0,0
3,3280.0,2850000.0,1,0,0,0,0,736392,3.3,3206,3.0,2.0,0.0,211.0,198.0,1890.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8481,144.9499,0,0,0,0,0,1,0,0,0
3,3280.0,1850000.0,0,1,0,0,0,736392,3.3,3206,3.0,2.0,0.0,128.0,133.0,1890.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8452,144.9488,0,0,0,0,0,1,0,0,0
2,3280.0,1436000.0,0,1,0,0,0,736392,3.3,3206,2.0,1.0,0.0,130.0,81.0,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8431,144.9565,0,0,0,0,0,1,0,0,0
2,3280.0,1110000.0,0,1,0,0,0,736182,3.3,3206,1.0,1.0,0.0,147.0,114.0,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8444,144.9484,0,0,0,0,0,1,0,0,0
2,3280.0,1550000.0,0,1,0,0,0,736091,3.3,3206,2.0,1.0,1.0,167.0,147.0,1890.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8405,144.9521,0,0,0,0,0,1,0,0,0
4,3280.0,2300000.0,0,1,0,0,0,736091,3.3,3206,4.0,2.0,1.0,153.0,180.0,1880.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8447,144.9523,0,0,0,0,0,1,0,0,0
3,3280.0,1550000.0,0,0,0,0,1,736275,3.3,3206,3.0,2.0,2.0,718.0,169.5,1938.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8443,144.9598,0,0,0,0,0,1,0,0,1
3,3280.0,1800000.0,0,0,0,0,1,736275,3.3,3206,3.0,2.0,1.0,132.0,159.0,1996.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8415,144.952,0,0,0,0,0,1,0,0,0
2,3280.0,2120000.0,0,1,0,0,0,736217,3.3,3206,2.0,1.0,1.0,199.0,107.0,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8422,144.9554,0,0,0,0,0,1,0,0,0
3,3280.0,1800000.0,0,0,0,0,1,736217,3.3,3206,3.0,1.0,1.0,253.0,114.5,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8443,144.9579,0,0,0,0,0,1,0,0,0
3,3280.0,1800000.0,0,1,0,0,0,736217,3.3,3206,3.0,2.0,1.0,90.0,122.0,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8421,144.9571,0,0,0,0,0,1,0,0,0
2,3280.0,1810000.0,1,0,0,0,0,736308,3.3,3206,2.0,1.0,0.0,240.0,151.5,1890.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8379,144.9539,0,0,0,0,0,1,0,0,0
3,3280.0,2615000.0,0,1,0,0,0,736308,3.3,3206,3.0,2.0,1.0,177.0,181.0,1880.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8415,144.9585,0,0,0,0,0,1,0,0,0
5,3280.0,2100000.0,0,1,0,0,0,736308,3.3,3206,5.0,2.0,1.0,237.0,149.0,1920.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8436,144.9557,0,0,0,0,0,1,0,0,0
3,3280.0,1300000.0,0,1,0,0,0,736308,3.3,3206,3.0,1.0,0.0,129.0,117.0,1960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8422,144.94899999999996,0,0,0,0,0,1,0,0,0
3,3280.0,1370000.0,0,1,0,0,0,736127,3.3,3206,3.0,2.0,2.0,0.0,85.0,2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8451,144.9511,0,0,0,0,0,1,0,0,0
2,3280.0,1000000.0,0,1,0,0,0,736280,3.3,3206,2.0,1.0,0.0,288.0,89.33333333333333,1963.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37.8407,144.9523,0,0,0,0,0,1,0,0,0
