Suburb,Address,Rooms,Propertycount,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Type
6,7326,2,2211.0,820000.0,1,155,736406,6.4,62,2.0,1.0,1.0,183.0,117.6,1976.8,6,-37.7747,145.0264,2,1
6,10156,2,2211.0,390000.0,4,155,736106,6.4,62,2.0,1.0,1.0,0.0,60.0,1960.0,6,-37.7773,145.0314,2,1
6,340,2,2211.0,512000.0,1,127,736385,6.4,62,2.0,1.0,1.0,0.0,61.0,1965.0,6,-37.7805,145.0262,2,1
7,409,3,5301.0,630000.0,1,15,736182,13.8,10,2.0,1.0,2.0,311.0,94.0,1955.0,10,-37.8702,144.8143,6,1
7,10124,2,5301.0,406000.0,3,260,736182,13.8,10,2.0,1.0,1.0,65.0,108.5,1955.0,10,-37.8693,144.8171,6,1
7,327,2,5301.0,580000.0,1,15,736245,13.8,10,2.0,1.0,1.0,225.0,93.0,1988.0,10,-37.8696,144.827,6,1
7,7082,2,5301.0,510000.0,1,239,736217,13.8,10,2.0,1.0,1.0,127.0,76.0,1990.0,10,-37.8686,144.8182,6,1
7,8889,2,5301.0,425000.0,1,260,736217,13.8,10,2.0,1.0,2.0,115.0,57.0,1980.0,10,-37.871,144.8185,6,1
7,818,3,5301.0,605000.0,1,104,736308,13.8,10,3.0,2.0,2.0,230.0,104.5,1975.0,10,-37.8646,144.827,6,1
7,8820,2,5301.0,391000.0,3,85,736371,13.8,10,2.0,1.0,1.0,0.0,65.0,1965.0,10,-37.8678,144.8384,6,1
7,1721,2,5301.0,440000.0,3,260,736371,13.8,10,2.0,1.0,1.0,0.0,97.5,1957.5,10,-37.8659,144.83100000000005,6,1
7,8903,3,5301.0,730000.0,3,15,736189,13.8,10,3.0,2.0,1.0,69.0,141.0,2014.0,10,-37.868,144.8286,6,1
7,7077,2,5301.0,620000.0,3,260,736098,13.8,10,2.0,1.0,1.0,168.0,98.33333333333334,1975.0,10,-37.8676,144.8202,6,1
7,7195,2,5301.0,447000.0,1,31,736252,13.8,10,2.0,1.0,1.0,137.0,77.0,1990.0,10,-37.8655,144.8299,6,1
7,785,3,5301.0,730000.0,3,15,736070,13.8,10,3.0,2.0,1.0,70.0,82.0,1970.0,10,-37.868,144.8287,6,1
7,10193,2,5301.0,580000.0,0,23,736161,13.8,10,2.0,2.0,1.0,175.0,76.0,2013.0,10,-37.8687,144.8268,6,1
7,7043,3,5301.0,577000.0,1,251,736077,13.8,10,3.0,2.0,1.0,205.0,113.0,2007.0,10,-37.8684,144.815,6,1
7,4380,3,5301.0,605000.0,1,15,736385,13.8,10,3.0,1.0,2.0,181.0,106.5,1978.5,10,-37.8659,144.822,6,1
7,10161,3,5301.0,730000.0,3,15,736112,13.8,10,3.0,2.0,1.0,70.0,3.0,2014.0,10,-37.868,144.8285,6,1
9,8763,2,5132.0,292000.0,1,104,736204,11.1,17,2.0,1.0,1.0,153.0,70.0,1970.0,10,-37.8332,144.8649,6,1
11,12555,2,4836.0,599000.0,1,106,736210,6.3,108,2.0,1.0,1.0,0.0,76.0,1964.0,27,-37.8543,145.0262,5,1
11,702,2,4836.0,550000.0,4,161,736301,6.3,108,2.0,1.0,0.0,861.0,88.0,1981.0,27,-37.8539,145.0284,5,1
11,2763,3,4836.0,995000.0,1,135,736301,6.3,108,3.0,2.0,2.0,0.0,100.0,1998.0,27,-37.8552,145.016,5,1
11,13147,1,4836.0,421500.0,1,23,736301,6.3,108,1.0,1.0,0.0,0.0,133.0,1888.5,27,-37.853,145.0167,5,1
11,6994,2,4836.0,678000.0,1,260,736392,6.3,108,2.0,1.0,2.0,0.0,140.5,1941.5,27,-37.8538,145.0127,5,1
11,878,2,4836.0,660000.0,3,260,736392,6.3,108,2.0,1.0,1.0,0.0,140.5,1952.5,27,-37.8619,145.0257,5,1
11,12635,2,4836.0,700000.0,4,106,736119,6.3,108,2.0,1.0,2.0,0.0,95.6,1958.0,27,-37.8552,145.016,5,1
11,1624,2,4836.0,3625000.0,1,106,736119,6.3,108,3.0,2.0,2.0,0.0,75.2,2006.0,27,-37.8555,145.0291,5,1
11,13096,3,4836.0,735000.0,0,135,736091,6.3,108,3.0,2.0,1.0,2113.0,14.0,1970.0,27,-37.8543,145.0262,5,1
11,11086,2,4836.0,825000.0,1,106,736091,6.3,108,2.0,1.0,1.0,0.0,37.25,1966.6666666666667,27,-37.8528,145.0268,5,1
11,3796,2,4836.0,645000.0,1,135,736245,6.3,108,3.0,1.0,1.0,0.0,83.75,1960.0,27,-37.8596,145.0198,5,1
11,3051,1,4836.0,280000.0,0,260,736217,6.3,108,1.0,1.0,1.0,0.0,38.0,1975.0,27,-37.8619,145.0185,5,1
11,445,1,4836.0,400000.0,0,260,736308,6.3,108,1.0,1.0,1.0,0.0,49.666666666666664,1973.3333333333333,27,-37.8605,145.0185,5,1
11,12620,2,4836.0,592500.0,1,260,736308,6.3,108,2.0,1.0,1.0,0.0,73.0,1970.0,27,-37.8574,145.0174,5,1
11,11934,1,4836.0,390000.0,1,106,736098,6.3,108,1.0,1.0,0.0,881.0,171.5,1905.0,27,-37.8614,145.0222,5,1
11,12618,1,4836.0,324000.0,1,106,736070,6.3,108,1.0,1.0,1.0,0.0,339.5,1917.5,27,-37.8537,145.0114,5,1
11,1173,1,4836.0,440000.0,3,106,736406,6.3,108,1.0,1.0,1.0,0.0,53.0,1970.0,27,-37.8531,145.0115,5,1
11,11938,2,4836.0,490000.0,0,196,736133,6.3,108,2.0,1.0,1.0,0.0,70.66666666666667,1966.0,27,-37.8646,145.0247,5,1
11,11930,3,4836.0,732000.0,1,82,736133,6.3,108,3.0,2.0,2.0,0.0,90.0,1934.5,27,-37.8597,145.0104,5,1
11,11145,2,4836.0,704000.0,3,85,736287,6.3,108,2.0,1.0,1.0,0.0,74.0,1969.0,27,-37.8573,145.0186,5,1
11,2054,2,4836.0,620000.0,4,135,736287,6.3,108,3.0,1.0,1.0,0.0,98.0,1970.0,27,-37.8596,145.0198,5,1
11,2438,1,4836.0,315000.0,3,73,736198,6.3,108,1.0,1.0,1.0,0.0,98.66666666666667,1923.3333333333333,27,-37.8575,145.0174,5,1
11,11886,1,4836.0,450000.0,0,260,736231,6.3,108,1.0,1.0,1.0,0.0,89.33333333333333,1946.6666666666667,27,-37.8509,145.0203,5,1
11,1169,2,4836.0,710000.0,1,106,736385,6.3,108,2.0,1.0,1.0,2471.0,80.0,1970.0,27,-37.8573,145.0186,5,1
11,4697,2,4836.0,872000.0,1,106,736385,6.3,108,2.0,1.0,1.0,1194.0,84.0,1953.0,27,-37.8604,145.0147,5,1
11,336,2,4836.0,598000.0,1,260,736385,6.3,108,2.0,1.0,1.0,0.0,88.0,1970.0,27,-37.8593,145.0156,5,1
11,694,2,4836.0,520000.0,1,260,736142,6.3,108,1.0,1.0,1.0,0.0,76.0,1970.0,27,-37.8618,145.0183,5,1
11,607,3,4836.0,869000.0,1,106,736112,6.3,108,2.0,1.0,1.0,0.0,91.0,1940.0,27,-37.853,145.0264,5,1
11,4795,2,4836.0,565000.0,1,196,736204,6.3,108,3.0,1.0,1.0,0.0,65.66666666666667,1988.6666666666667,27,-37.8573,145.0112,5,1
11,10160,1,4836.0,567000.0,1,260,736204,6.3,108,1.0,1.0,1.0,0.0,53.0,2013.0,27,-37.8549,145.0113,5,1
11,7215,2,4836.0,546000.0,3,260,736175,6.3,108,2.0,0.0,0.0,0.0,66.75,1996.5,27,-37.8568,145.0161,5,1
11,11962,2,4836.0,471500.0,1,196,736175,6.3,108,2.0,1.0,1.0,0.0,80.5,1980.0,27,-37.8503,145.0185,5,1
12,4740,2,6567.0,455000.0,1,155,736210,5.9,23,3.0,1.0,2.0,0.0,94.25,1950.0,21,-37.7756,144.9165,6,1
12,13142,2,6567.0,467000.0,3,28,736301,5.9,23,2.0,1.0,1.0,0.0,62.0,1980.0,21,-37.7761,144.9201,6,1
12,4534,2,6567.0,490000.0,4,106,736392,5.9,23,2.0,1.0,1.0,423.0,62.0,1970.0,21,-37.7736,144.9015,6,1
12,404,2,6567.0,685000.0,1,28,736275,5.9,23,2.0,1.0,2.0,228.0,90.0,1995.0,21,-37.7718,144.9066,6,1
12,5892,2,6567.0,450000.0,4,155,736280,5.9,23,2.0,1.0,1.0,0.0,125.5,2010.0,21,-37.7731,144.9074,6,1
12,12532,1,6567.0,390000.0,1,4,736280,5.9,23,1.0,1.0,1.0,0.0,58.0,1972.0,21,-37.7723,144.9094,6,1
12,7097,2,6567.0,432000.0,1,23,736252,5.9,23,2.0,1.0,1.0,0.0,62.0,1978.0,21,-37.773,144.9303,6,1
12,4404,2,6567.0,610000.0,3,28,736070,5.9,23,2.0,1.0,1.0,301.0,104.0,1995.0,21,-37.7791,144.914,6,1
12,2071,2,6567.0,442000.0,1,4,736133,5.9,23,2.0,1.0,1.0,0.0,62.0,1975.0,21,-37.7733,144.9219,6,1
12,1372,2,6567.0,540000.0,1,106,736287,5.9,23,2.0,2.0,1.0,0.0,86.0,1947.5,21,-37.7786,144.9141,6,1
12,8796,2,6567.0,440000.0,1,139,736287,5.9,23,2.0,1.0,1.0,0.0,65.0,1970.0,21,-37.7749,144.9137,6,1
12,11051,2,6567.0,570000.0,4,155,736106,5.9,23,2.0,1.0,1.0,0.0,157.75,1900.0,21,-37.7779,144.9137,6,1
12,822,2,6567.0,690000.0,1,28,736106,5.9,23,2.0,1.0,1.0,0.0,157.5,1900.0,21,-37.7728,144.9169,6,1
12,1341,3,6567.0,790000.0,0,245,736231,5.9,23,3.0,2.0,1.0,0.0,148.0,1966.0,21,-37.7722,144.9163,6,1
12,3798,2,6567.0,390000.0,0,106,736385,5.9,23,2.0,1.0,1.0,1957.0,69.0,2012.0,21,-37.7731,144.9074,6,1
12,13087,3,6567.0,487500.0,1,94,736142,5.9,23,3.0,1.0,3.0,0.0,110.5,1972.0,21,-37.7723,144.9094,6,1
12,912,2,6567.0,545000.0,1,155,736204,5.9,23,2.0,1.0,2.0,194.0,71.0,1900.0,21,-37.7772,144.9118,6,1
13,1232,2,3052.0,500000.0,4,73,736392,11.0,112,2.0,1.0,1.0,710.0,259.6666666666667,2010.0,2,-37.8636,145.0794,5,1
14,7614,3,2894.0,1045000.0,1,229,736392,12.2,112,3.0,2.0,2.0,467.0,191.75,1994.0,20,-37.8639,145.0968,5,1
14,848,2,2894.0,690000.0,1,196,736098,12.2,112,2.0,1.0,1.0,216.0,90.0,2003.0,20,-37.8711,145.1017,5,1
14,8839,2,2894.0,600000.0,1,161,736406,12.2,112,2.0,1.0,1.0,153.0,80.0,1970.0,20,-37.8696,145.0962,5,1
14,8776,2,2894.0,535000.0,1,255,736133,12.2,112,2.0,1.0,1.0,72.0,117.33333333333334,1965.0,20,-37.8702,145.1042,5,1
14,4827,2,2894.0,700000.0,1,260,736198,12.2,112,2.0,1.0,2.0,192.0,88.0,2007.0,20,-37.8709,145.102,5,1
18,3391,3,4502.0,665000.0,1,28,736070,10.5,25,3.0,2.0,1.0,289.0,221.0,2007.125,21,-37.7644,144.8657,6,1
18,4331,2,4502.0,440000.0,1,155,736406,10.5,25,2.0,1.0,1.0,263.0,161.0,1999.0,21,-37.7697,144.8657,6,1
18,748,3,4502.0,500000.0,1,155,736231,10.5,25,3.0,1.0,1.0,260.0,134.25,1990.0,21,-37.7507,144.8576,6,1
18,4707,2,4502.0,411000.0,0,16,736295,10.5,25,2.0,1.0,1.0,0.0,85.0,1995.0,21,-37.7608,144.863,6,1
20,11951,2,2952.0,410000.0,0,260,736301,6.6,143,2.0,1.0,2.0,0.0,61.0,1965.0,26,-37.8731,144.9958,5,1
20,7307,1,2952.0,280000.0,4,260,736091,6.6,143,1.0,1.0,1.0,0.0,90.5,1982.5,26,-37.8733,144.997,5,1
20,8969,2,2952.0,502500.0,1,32,736252,6.6,143,2.0,1.0,1.0,0.0,65.0,1960.0,26,-37.8725,144.9952,5,1
20,497,2,2952.0,520000.0,1,82,736252,6.6,143,2.0,1.0,0.0,0.0,58.0,1970.0,26,-37.8742,144.9972,5,1
20,11079,2,2952.0,442000.0,3,32,736224,6.6,143,2.0,1.0,1.0,0.0,61.0,1960.0,26,-37.8726,144.9962,5,1
20,7044,2,2952.0,416000.0,1,46,736133,6.6,143,2.0,1.0,1.0,0.0,49.0,1960.0,26,-37.8678,144.9966,5,1
20,4688,2,2952.0,820000.0,1,82,736287,6.6,143,2.0,1.0,1.0,0.0,54.0,1965.0,26,-37.8691,144.9974,5,1
20,4493,2,2952.0,474000.0,1,260,736106,6.6,143,2.0,1.0,1.0,0.0,59.0,1970.0,26,-37.8667,144.9917,5,1
20,7133,2,2952.0,540000.0,4,140,736142,6.6,143,2.0,1.0,1.0,483.0,51.0,1970.0,26,-37.8727,144.9969,5,1
20,3050,1,2952.0,500000.0,3,23,736295,6.6,143,1.0,1.0,0.0,0.0,87.0,1925.3333333333333,26,-37.87300000000001,144.9907,5,1
20,10017,2,2952.0,497500.0,0,260,736204,6.6,143,2.0,0.0,0.0,0.0,105.0,1922.6666666666667,26,-37.8739,144.9929,5,1
21,4907,3,5682.0,1070000.0,2,179,736301,9.7,78,3.0,2.0,2.0,206.0,112.0,1998.0,2,-37.8161,145.0812,5,1
21,10038,2,5682.0,806000.0,1,161,736301,9.7,78,2.0,1.0,1.0,122.0,97.0,1977.0,2,-37.8124,145.0916,5,1
21,7114,2,5682.0,812000.0,1,106,736392,9.7,78,2.0,1.0,1.0,206.0,354.25,1991.0,2,-37.8092,145.0778,5,1
21,8814,2,5682.0,605000.0,1,135,736119,9.7,78,2.0,1.0,1.0,0.0,288.0,1977.3333333333333,2,-37.8152,145.0843,5,1
21,13079,2,5682.0,805000.0,1,161,736182,9.7,78,3.0,1.0,1.0,209.0,138.0,1975.0,2,-37.8125,145.0901,5,1
21,1231,2,5682.0,635000.0,1,73,736245,9.7,78,2.0,1.0,1.0,0.0,70.0,2014.0,2,-37.8116,145.0724,5,1
21,531,2,5682.0,526000.0,1,260,736217,9.7,78,2.0,1.0,1.0,0.0,73.0,1960.0,2,-37.8144,145.0993,5,1
21,11010,2,5682.0,625000.0,0,106,736189,9.7,78,2.0,1.0,1.0,115.0,104.0,1960.0,2,-37.8122,145.0879,5,1
21,11094,2,5682.0,460000.0,4,106,736070,9.7,78,2.0,1.0,1.0,0.0,79.0,1950.0,2,-37.8152,145.0839,5,1
21,7322,2,5682.0,1053000.0,1,73,736161,9.7,78,2.0,1.0,2.0,231.0,98.0,1985.0,2,-37.8123,145.0821,5,1
21,10210,2,5682.0,754000.0,0,135,736406,9.7,78,2.0,1.0,1.0,87.0,88.0,1990.0,2,-37.8134,145.08100000000005,5,1
21,4641,2,5682.0,755000.0,0,161,736287,9.7,78,2.0,1.0,1.0,213.0,92.0,1980.0,2,-37.8092,145.0789,5,1
21,8837,2,5682.0,650000.0,1,106,736231,9.7,78,2.0,1.0,1.0,0.0,150.0,1960.0,2,-37.8147,145.084,5,1
21,6942,2,5682.0,730000.0,1,260,736204,9.7,78,2.0,1.0,1.0,130.0,80.0,1960.0,2,-37.812,145.0876,5,1
22,4670,3,7809.0,1050000.0,1,73,736245,9.2,79,3.0,2.0,2.0,244.0,214.5,1968.5,2,-37.7933,145.0672,5,1
22,7221,2,7809.0,735000.0,1,47,736077,9.2,79,2.0,1.0,1.0,1075.0,129.66666666666666,1970.0,2,-37.7953,145.0712,5,1
22,7200,2,7809.0,1040000.0,1,73,736231,9.2,79,2.0,1.0,1.0,250.0,112.0,1995.0,2,-37.7996,145.0959,5,1
22,10030,2,7809.0,560000.0,1,260,736295,9.2,79,2.0,1.0,1.0,0.0,157.0,1950.0,2,-37.7961,145.0808,5,1
22,4627,2,7809.0,691500.0,1,73,736175,9.2,79,3.0,1.0,1.0,0.0,102.0,1968.0,2,-37.7938,145.0666,5,1
29,10066,2,6795.0,636000.0,1,260,736210,13.0,162,2.0,1.0,2.0,202.0,111.5,1974.0,8,-37.9165,145.0259,5,1
29,513,3,6795.0,875000.0,1,260,736210,13.0,162,3.0,1.0,2.0,348.0,121.0,1950.0,8,-37.9273,145.0479,5,1
29,12520,2,6795.0,360000.0,0,32,736182,13.0,162,2.0,1.0,1.0,0.0,69.0,1965.0,8,-37.9332,145.045,5,1
29,2420,2,6795.0,650000.0,3,260,736308,13.0,162,2.0,1.0,1.0,116.0,92.0,1960.0,8,-37.9245,145.0336,5,1
29,1134,2,6795.0,420000.0,0,32,736280,13.0,162,2.0,1.0,0.0,1045.0,434.3333333333333,1977.5,8,-37.9158,145.0379,5,1
29,4888,2,6795.0,855000.0,1,260,736280,13.0,162,2.0,2.0,3.0,226.0,475.0,2005.0,8,-37.9274,145.031,5,1
29,4444,2,6795.0,725000.0,1,260,736189,13.0,162,2.0,1.0,1.0,227.0,100.0,1990.0,8,-37.9326,145.0387,5,1
29,923,2,6795.0,797500.0,1,196,736224,13.0,162,2.0,1.0,2.0,321.0,129.0,1988.5,8,-37.9257,145.0501,5,1
29,7009,2,6795.0,725000.0,1,260,736406,13.0,162,2.0,1.0,1.0,677.0,88.0,2012.0,8,-37.9173,145.0359,5,1
29,851,2,6795.0,820000.0,1,260,736287,13.0,162,2.0,1.0,3.0,336.0,109.0,1960.0,8,-37.929,145.0375,5,1
29,1639,2,6795.0,635000.0,1,260,736231,13.0,162,2.0,1.0,2.0,118.0,305.5,1969.0,8,-37.9245,145.0336,5,1
29,3134,3,6795.0,1096000.0,1,35,736204,13.0,162,3.0,2.0,2.0,292.0,164.0,1945.0,8,-37.9273,145.0324,5,1
29,12552,3,6795.0,517500.0,1,32,736204,13.0,162,3.0,1.0,1.0,0.0,223.75,1970.0,8,-37.9178,145.0511,5,1
29,10206,2,6795.0,503000.0,1,32,736204,13.0,162,2.0,1.0,1.0,0.0,315.25,1960.0,8,-37.9159,145.0285,5,1
29,4320,2,6795.0,760000.0,1,32,736175,13.0,162,2.0,1.0,1.0,192.0,313.8,1990.0,8,-37.9193,145.0484,5,1
29,11085,2,6795.0,405000.0,1,82,736175,13.0,162,2.0,1.0,1.0,0.0,266.6,1968.0,8,-37.9159,145.039,5,1
30,6624,2,10969.0,746000.0,1,260,736301,13.9,126,2.0,1.0,2.0,281.0,95.0,2002.0,8,-37.9255,145.0796,5,1
30,2864,1,10969.0,580000.0,1,255,736301,13.9,126,1.0,1.0,1.0,105.0,142.5,1981.0,8,-37.9181,145.0586,5,1
30,696,3,10969.0,1025000.0,1,255,736392,13.9,126,3.0,2.0,2.0,384.0,120.0,1999.0,8,-37.9229,145.0557,5,1
30,11030,3,10969.0,740000.0,0,94,736392,13.9,126,3.0,2.0,1.0,258.0,106.33333333333333,1992.6666666666667,8,-37.9244,145.0547,5,1
30,4577,2,10969.0,495000.0,1,255,736119,13.9,126,2.0,1.0,1.0,76.0,79.0,1980.0,8,-37.91,145.0842,5,1
30,12897,2,10969.0,570000.0,1,260,736119,13.9,126,2.0,1.0,1.0,145.0,128.5,1965.0,8,-37.9193,145.0659,5,1
30,13159,2,10969.0,380000.0,0,32,736091,13.9,126,3.0,2.0,1.0,0.0,78.0,1970.0,8,-37.9212,145.0674,5,1
30,813,2,10969.0,651000.0,1,82,736091,13.9,126,2.0,1.0,1.0,265.0,150.0,1960.0,8,-37.9223,145.0747,5,1
30,4383,2,10969.0,495000.0,3,255,736245,13.9,126,2.0,1.0,1.0,96.0,133.0,1965.0,8,-37.9102,145.0709,5,1
30,8733,1,10969.0,370000.0,0,32,736245,13.9,126,1.0,1.0,1.0,0.0,148.0,1970.0,8,-37.9205,145.0528,5,1
30,8942,2,10969.0,716000.0,1,32,736308,13.9,126,2.0,1.0,2.0,212.0,162.5,1966.3333333333333,8,-37.9218,145.0607,5,1
30,4667,3,10969.0,720000.0,0,82,736161,13.9,126,3.0,2.0,1.0,228.0,172.0,1996.0,8,-37.9329,145.0617,5,1
30,10443,2,10969.0,761000.0,1,196,736161,13.9,126,2.0,1.0,2.0,282.0,260.0,1968.0,8,-37.9073,145.0599,5,1
30,9224,2,10969.0,835000.0,1,255,736224,13.9,126,2.0,2.0,1.0,362.0,170.5,1955.0,8,-37.9149,145.0676,5,1
30,9233,3,10969.0,791000.0,1,255,736224,13.9,126,3.0,3.0,1.0,391.0,122.0,1950.0,8,-37.9149,145.0788,5,1
30,4370,3,10969.0,800000.0,0,32,736133,13.9,126,3.0,2.0,2.0,252.0,116.66666666666667,1994.0,8,-37.9085,145.0683,5,1
30,4379,2,10969.0,655000.0,1,260,736133,13.9,126,2.0,1.0,1.0,154.0,80.0,2000.0,8,-37.9079,145.0685,5,1
30,4429,3,10969.0,920000.0,3,32,736133,13.9,126,3.0,2.0,1.0,388.0,123.0,2007.0,8,-37.9329,145.053,5,1
30,4329,2,10969.0,485000.0,3,32,736106,13.9,126,2.0,2.0,2.0,0.0,83.0,2011.0,8,-37.9292,145.0708,5,1
30,536,3,10969.0,810000.0,1,255,736106,13.9,126,3.0,2.0,1.0,316.0,117.0,1950.0,8,-37.9245,145.0773,5,1
30,11025,2,10969.0,340000.0,4,82,736198,13.9,126,2.0,1.0,1.0,0.0,182.5,2012.0,8,-37.9096,145.0843,5,1
30,4766,3,10969.0,870000.0,1,255,736231,13.9,126,3.0,2.0,2.0,365.0,150.0,2011.0,8,-37.9225,145.0754,5,1
30,4459,3,10969.0,770000.0,0,260,736385,13.9,126,3.0,2.0,1.0,281.0,132.0,2005.0,8,-37.9257,145.0811,5,1
30,801,1,10969.0,380000.0,1,260,736385,13.9,126,1.0,1.0,1.0,0.0,99.0,1970.0,8,-37.9315,145.0619,5,1
30,7339,2,10969.0,772500.0,1,6,736142,13.9,126,2.0,1.0,2.0,318.0,125.33333333333333,2001.6666666666667,8,-37.9218,145.0563,5,1
30,7034,2,10969.0,715000.0,1,260,736142,13.9,126,2.0,1.0,1.0,194.0,114.0,1995.0,8,-37.9107,145.0598,5,1
30,4385,3,10969.0,790000.0,1,260,736295,13.9,126,3.0,1.0,2.0,406.0,100.0,1996.0,8,-37.9286,145.0737,5,1
30,4578,3,10969.0,800000.0,1,255,736112,13.9,126,3.0,2.0,2.0,261.0,137.71428571428572,1974.857142857143,8,-37.9163,145.0779,5,1
30,576,3,10969.0,830000.0,1,255,736204,13.9,126,3.0,2.0,2.0,395.0,187.66666666666666,2001.0,8,-37.9364,145.0649,5,1
38,11093,2,4605.0,645000.0,1,140,736392,13.1,96,2.0,1.0,1.0,140.0,81.0,1965.0,29,-37.8271,145.1299,0,1
38,221,2,4605.0,790000.0,1,161,736392,13.1,96,2.0,1.0,1.0,195.0,109.66666666666667,1984.0,29,-37.826,145.129,0,1
38,845,1,4605.0,288000.0,3,260,736127,13.1,96,1.0,1.0,1.0,774.0,129.5,1970.0,29,-37.8241,145.1262,0,1
38,7575,2,4605.0,465000.0,1,196,736189,13.1,96,2.0,2.0,1.0,0.0,65.0,2010.0,29,-37.8216,145.127,0,1
38,2161,2,4605.0,616000.0,1,179,736161,13.1,96,3.0,1.0,1.0,155.0,208.33333333333334,1902.3333333333333,29,-37.8193,145.1149,0,1
38,4709,3,4605.0,775000.0,1,73,736224,13.1,96,3.0,1.0,1.0,211.0,108.0,1980.0,29,-37.8275,145.1232,0,1
38,11857,1,4605.0,340000.0,3,126,736406,13.1,96,1.0,1.0,1.0,29.0,141.0,1935.5,29,-37.8215,145.1214,0,1
38,4525,2,4605.0,761000.0,1,135,736133,13.1,96,2.0,2.0,1.0,176.0,94.0,2000.0,29,-37.8171,145.1343,0,1
38,7284,2,4605.0,636000.0,1,179,736287,13.1,96,2.0,1.0,1.0,151.0,82.0,1970.0,29,-37.8234,145.1235,0,1
38,7209,2,4605.0,400000.0,4,196,736077,13.1,96,2.0,1.0,1.0,0.0,92.4,1962.5,29,-37.8248,145.1215,0,1
38,4636,2,4605.0,560000.0,1,221,736204,13.1,96,2.0,1.0,1.0,153.0,116.25,1970.0,29,-37.8269,145.1305,0,1
38,332,2,4605.0,420000.0,4,106,736175,13.1,96,2.0,1.0,1.0,0.0,102.5,1970.0,29,-37.8253,145.1205,0,1
39,4340,3,3589.0,495000.0,1,20,736119,10.8,11,3.0,2.0,1.0,327.0,124.0,2006.0,16,-37.7851,144.8517,6,1
41,4592,2,10579.0,536000.0,3,94,736301,11.2,146,2.0,1.0,2.0,0.0,70.0,1970.0,1,-37.9081,145.0043,5,1
41,330,2,10579.0,1300000.0,1,260,736392,11.2,146,2.0,2.0,1.0,244.0,129.5,2000.0,1,-37.8954,145.0026,5,1
41,281,2,10579.0,1300000.0,1,160,736392,11.2,146,2.0,2.0,2.0,329.0,132.0,1940.0,1,-37.9172,145.004,5,1
