age,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,default,balance,housing,loan,contact_cellular,contact_telephone,contact_unknown,day,month_apr,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,duration,campaign,pdays,previous,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown,y
39,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,9374,1,0,0,0,1,20,0,0,0,0,0,0,0,0,1,0,0,0,273,1,-1,0,0,0,0,1,0
43,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,264,1,0,1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,113,2,-1,0,0,0,0,1,0
36,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1109,0,0,1,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,328,2,-1,0,0,0,0,1,0
20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,502,0,0,1,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,261,1,-1,0,0,0,0,1,1
31,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,360,1,1,1,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,89,1,241,1,1,0,0,0,0
40,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,194,0,1,1,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,189,2,-1,0,0,0,0,1,0
56,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4073,0,0,1,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,239,5,-1,0,0,0,0,1,0
37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2317,1,0,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,114,1,152,2,1,0,0,0,0
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-221,1,0,0,0,1,23,0,0,0,0,0,0,0,0,1,0,0,0,250,1,-1,0,0,0,0,1,0
31,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,132,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,148,1,152,1,0,1,0,0,0
38,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,96,2,-1,0,0,0,0,1,0
42,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,16,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,140,3,-1,0,0,0,0,1,0
44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,106,0,0,0,0,1,12,0,0,0,0,0,0,1,0,0,0,0,0,109,2,-1,0,0,0,0,1,0
44,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,93,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,125,2,-1,0,0,0,0,1,0
26,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,543,0,0,1,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,169,3,-1,0,0,0,0,1,0
41,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5883,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,182,2,-1,0,0,0,0,1,0
55,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,627,1,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,247,1,-1,0,0,0,0,1,0
67,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,696,0,0,0,1,0,17,0,1,0,0,0,0,0,0,0,0,0,0,119,1,105,2,1,0,0,0,0
56,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,784,0,1,1,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,149,2,-1,0,0,0,0,1,0
53,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,105,0,1,1,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,74,2,-1,0,0,0,0,1,0
68,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4189,0,0,0,1,0,14,0,0,0,0,0,1,0,0,0,0,0,0,897,2,-1,0,0,0,0,1,1
31,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,171,0,0,1,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,81,3,-1,0,0,0,0,1,0
59,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,42,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,40,1,-1,0,0,0,0,1,0
32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2536,1,0,1,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,958,6,-1,0,0,0,0,1,1
49,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1235,0,0,1,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,354,3,-1,0,0,0,0,1,1
42,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1811,1,0,0,0,1,14,0,0,0,0,0,0,0,0,1,0,0,0,150,1,-1,0,0,0,0,1,0
78,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,229,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,1,0,97,1,-1,0,0,0,0,1,1
32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2089,1,0,1,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,132,1,-1,0,0,0,0,1,1
33,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3935,1,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,765,1,342,2,1,0,0,0,1
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,363,1,0,0,0,1,30,0,0,0,0,0,0,0,0,1,0,0,0,16,18,-1,0,0,0,0,1,0
38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11971,1,0,0,0,1,17,0,0,0,0,0,0,0,0,0,1,0,0,609,2,101,3,1,0,0,0,0
36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,553,0,0,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,106,2,-1,0,0,0,0,1,0
52,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1117,1,0,1,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,365,1,-1,0,0,0,0,1,0
32,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,396,1,0,1,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,205,3,-1,0,0,0,0,1,0
32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2204,1,0,1,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,11,4,-1,0,0,0,0,1,0
34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,872,1,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,105,2,-1,0,0,0,0,1,0
55,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,145,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,59,3,5,2,0,1,0,0,0
26,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,21,0,0,0,0,0,0,0,0,1,0,0,0,425,1,-1,0,0,0,0,1,0
32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,-849,1,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,204,1,-1,0,0,0,0,1,0
61,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4629,1,0,1,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,181,1,92,1,0,0,1,0,1
45,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,844,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,1018,3,-1,0,0,0,0,1,1
37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,228,1,0,1,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,1740,2,-1,0,0,0,0,1,0
38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,50,0,0,1,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,98,2,-1,0,0,0,0,1,0
34,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1539,1,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,441,1,56,1,0,1,0,0,1
53,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2231,1,0,1,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,272,3,-1,0,0,0,0,1,0
48,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3064,1,0,0,1,0,15,0,0,0,0,0,1,0,0,0,0,0,0,159,2,-1,0,0,0,0,1,0
57,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,82,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,140,1,-1,0,0,0,0,1,0
33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2155,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,295,1,-1,0,0,0,0,1,0
36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,101,1,1,0,0,1,26,0,0,0,0,0,0,0,0,1,0,0,0,314,1,-1,0,0,0,0,1,0
54,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,784,1,1,0,0,1,15,0,0,0,0,0,0,0,0,1,0,0,0,579,1,-1,0,0,0,0,1,0
41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-516,0,1,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,554,3,-1,0,0,0,0,1,0
63,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,415,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,323,1,-1,0,0,0,0,1,0
48,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5887,0,0,1,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,227,2,-1,0,0,0,0,1,0
48,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1355,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,134,2,-1,0,0,0,0,1,0
56,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,16873,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,223,1,-1,0,0,0,0,1,0
51,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,203,1,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,134,1,170,5,1,0,0,0,0
31,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,338,1,0,1,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,155,1,-1,0,0,0,0,1,0
29,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,444,1,0,1,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,130,4,-1,0,0,0,0,1,0
41,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,630,3,-1,0,0,0,0,1,0
32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,360,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,164,2,-1,0,0,0,0,1,0
37,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,268,2,182,3,0,0,1,0,1
42,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,380,1,-1,0,0,0,0,1,0
31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6248,1,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,154,2,-1,0,0,0,0,1,0
41,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,412,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,154,5,-1,0,0,0,0,1,0
56,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,344,1,0,0,0,1,15,0,0,0,0,0,0,0,0,1,0,0,0,221,1,-1,0,0,0,0,1,0
54,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3222,0,0,1,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,67,2,-1,0,0,0,0,1,0
41,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,174,1,0,1,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,367,2,297,1,0,1,0,0,0
40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,591,0,1,1,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,87,6,-1,0,0,0,0,1,0
50,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,388,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,701,1,-1,0,0,0,0,1,0
40,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,219,1,0,1,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,204,2,196,1,1,0,0,0,0
27,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,451,1,0,1,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,652,1,-1,0,0,0,0,1,1
60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,1,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,63,2,-1,0,0,0,0,1,0
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,177,1,1,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,150,1,-1,0,0,0,0,1,0
52,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,657,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,398,2,460,2,1,0,0,0,1
37,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1315,0,0,1,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,224,1,-1,0,0,0,0,1,1
51,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1466,1,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,406,2,-1,0,0,0,0,1,0
41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,879,0,1,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,60,4,-1,0,0,0,0,1,0
35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,293,1,0,0,0,1,30,0,0,0,0,0,0,0,0,1,0,0,0,521,2,-1,0,0,0,0,1,0
38,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,424,1,0,1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,279,1,-1,0,0,0,0,1,0
34,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1831,1,0,0,0,1,20,0,0,0,0,0,0,0,0,1,0,0,0,203,2,-1,0,0,0,0,1,0
39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,111,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,201,2,-1,0,0,0,0,1,0
34,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,455,1,0,0,0,1,20,0,0,0,0,0,0,1,0,0,0,0,0,372,3,-1,0,0,0,0,1,0
27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,-195,1,0,1,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,391,1,-1,0,0,0,0,1,1
32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3616,0,0,1,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,165,2,-1,0,0,0,0,1,0
57,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14093,0,0,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,231,5,-1,0,0,0,0,1,0
41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1567,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,291,2,-1,0,0,0,0,1,0
41,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5426,1,0,0,0,1,14,0,0,0,0,0,0,0,0,1,0,0,0,149,2,-1,0,0,0,0,1,0
30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,261,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,233,1,137,20,1,0,0,0,0
36,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2843,0,0,1,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,473,1,182,1,0,0,1,0,0
31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,406,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,736,1,-1,0,0,0,0,1,1
36,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,337,1,-1,0,0,0,0,1,0
38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,493,1,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,553,1,367,7,1,0,0,0,0
49,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,5996,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,1,0,0,345,2,-1,0,0,0,0,1,0
57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3777,1,0,0,1,0,13,0,0,0,0,0,0,0,0,1,0,0,0,65,2,-1,0,0,0,0,1,0
34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,524,0,0,0,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,9,1,-1,0,0,0,0,1,0
32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,574,1,0,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,259,2,145,3,1,0,0,0,0
37,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,427,1,1,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,371,3,-1,0,0,0,0,1,0
33,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,483,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,280,2,-1,0,0,0,0,1,0
56,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3391,0,0,1,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,243,1,-1,0,0,0,0,1,1
27,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,435,3,-1,0,0,0,0,1,0
21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2488,0,0,1,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,258,6,169,3,0,0,1,0,1
58,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1517,1,0,0,1,0,29,0,0,0,0,0,1,0,0,0,0,0,0,7,5,-1,0,0,0,0,1,0
32,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,217,1,1,1,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,317,5,-1,0,0,0,0,1,0
33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22,0,0,1,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,76,2,207,1,1,0,0,0,0
25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,331,0,0,0,1,0,26,0,1,0,0,0,0,0,0,0,0,0,0,170,4,-1,0,0,0,0,1,1
25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,505,0,1,1,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,386,2,-1,0,0,0,0,1,1
30,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1808,1,0,1,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,83,2,-1,0,0,0,0,1,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4111,0,1,1,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,65,1,-1,0,0,0,0,1,0
39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,52,0,0,1,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,69,1,-1,0,0,0,0,1,0
46,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,25,0,0,0,0,1,17,0,0,0,0,0,0,1,0,0,0,0,0,564,2,-1,0,0,0,0,1,0
31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1890,1,0,1,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,588,1,-1,0,0,0,0,1,0
45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,419,0,0,1,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,113,4,-1,0,0,0,0,1,0
32,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2693,1,0,0,0,1,21,0,0,0,0,0,0,0,0,1,0,0,0,16,1,-1,0,0,0,0,1,0
36,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-231,0,1,1,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,779,2,-1,0,0,0,0,1,0
51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-55,1,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,281,2,266,6,1,0,0,0,0
34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,462,0,0,1,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,1877,3,-1,0,0,0,0,1,1
24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,119,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,1,51,1,-1,0,0,0,0,1,0
45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,586,0,1,1,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,32,3,-1,0,0,0,0,1,0
32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,228,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,176,1,288,3,1,0,0,0,0
77,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4659,0,0,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,161,1,-1,0,0,0,0,1,1
41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,168,1,0,1,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,187,3,-1,0,0,0,0,1,0
37,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,26,0,0,0,0,0,0,0,0,1,0,0,0,24,1,-1,0,0,0,0,1,0
43,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-715,1,0,0,0,1,30,0,0,0,0,0,0,0,0,1,0,0,0,67,3,-1,0,0,0,0,1,0
48,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,85,1,168,2,1,0,0,0,0
27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,769,1,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,317,2,-1,0,0,0,0,1,0
